sa3_name16,sa3_code16,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Huon - Bruny Island,60302,1943,4101,32,34,64,2401,2196,4604,76,52,129,585,473,1066,9,12,21,672,544,1215,55,32,83,336,261,599,12,6,12,396,296,693,3,0,3,14,15,28,0,0,0,20,14,30,731,755,1486,7355,7302,14652,515,544,1056,8599,8602,17203,0,0,0,20,18,39,4,5,10,29,23,48,28,22,45,197,170,361,32,21,50,248,209,460,762,773,1538,7568,7486,15054,553,571,1120,8878,8829,17710,0,3,3,42,74,116,3,12,14,47,83,136
South East Coast,60303,850,1821,11,16,25,1021,902,1928,14,12,28,342,267,613,4,3,7,368,286,650,12,7,20,175,103,272,6,0,8,189,114,302,0,0,0,9,14,20,0,0,0,9,14,20,145,143,286,2462,2346,4811,215,223,441,2824,2712,5543,0,0,0,4,3,9,3,0,3,8,3,12,0,5,6,88,64,155,12,7,16,107,75,178,149,149,293,2564,2415,4977,230,231,461,2939,2789,5732,0,0,3,36,58,94,17,26,42,56,85,140
Holdfast Bay,40301,2125,3834,9,21,30,1745,2149,3900,9,6,10,491,571,1062,6,6,10,505,574,1080,5,6,7,399,518,913,7,3,8,404,526,932,0,3,4,86,54,137,0,4,3,84,55,143,57,58,117,8827,9226,18051,272,284,556,9158,9564,18719,0,0,0,0,0,0,3,3,3,3,3,3,45,51,92,4910,5966,10879,389,463,853,5339,6477,11821,105,107,205,13733,15193,28925,663,751,1411,14500,16047,30546,4,6,12,427,539,968,22,31,58,458,575,1033
Marion,40302,5525,10398,38,47,88,4979,5652,10631,29,38,62,1582,1769,3348,16,16,25,1625,1818,3439,21,18,45,1391,1908,3294,19,28,54,1432,1955,3386,11,0,7,212,277,488,0,3,3,216,282,501,333,328,660,29911,31161,61073,880,920,1796,31133,32401,63531,0,0,0,0,0,0,0,0,0,0,0,0,140,156,292,8962,10748,19709,522,631,1153,9620,11533,21153,475,476,952,38877,41902,80778,1402,1553,2954,40754,43930,84687,10,14,26,349,700,1044,36,20,54,398,732,1122
Burnie - Ulverstone,60401,6649,13259,90,76,163,7137,7196,14334,140,138,279,1951,1928,3879,28,40,61,2118,2105,4217,85,69,157,1219,1138,2355,23,28,50,1328,1234,2567,8,0,4,69,62,129,0,0,0,75,62,139,1432,1562,3001,17329,18658,35987,952,1012,1960,19715,21241,40949,0,0,0,0,0,4,0,0,0,0,3,3,94,98,191,1010,1174,2189,128,137,265,1237,1410,2648,1528,1661,3193,18345,19836,38181,1081,1147,2232,20953,22652,43602,11,10,23,247,343,586,34,56,96,292,407,702
Devonport,60402,6423,12847,63,56,115,6851,6829,13679,108,109,219,1755,1749,3508,30,33,66,1892,1896,3790,60,57,117,955,902,1852,15,29,43,1035,983,2017,3,4,8,45,47,89,0,3,3,54,56,103,1098,1154,2251,16309,17397,33706,848,949,1797,18251,19500,37754,0,0,0,13,6,17,3,3,3,16,9,22,71,74,145,1044,1256,2297,102,130,235,1213,1462,2672,1167,1224,2395,17358,18662,36022,952,1083,2036,19482,20970,40447,0,4,3,188,302,490,44,46,85,231,346,577
West Coast,60403,2102,4680,52,32,80,2894,2390,5276,87,65,148,688,555,1243,19,8,25,792,626,1417,52,29,78,386,268,657,10,12,19,440,310,750,3,0,3,20,12,28,0,0,0,21,12,36,864,851,1718,6479,6068,12543,502,455,952,7842,7379,15216,0,0,0,7,3,10,0,0,3,5,4,13,20,16,42,172,163,336,24,33,49,212,214,427,888,872,1758,6651,6238,12885,521,488,1012,8058,7597,15656,6,0,8,84,81,166,44,41,78,125,120,252
Darwin City,70101,973,2355,13,10,24,1521,1096,2616,41,54,95,272,184,452,5,3,6,319,237,555,44,45,84,189,192,383,3,0,8,238,238,479,10,7,12,45,43,82,0,3,0,52,44,99,262,274,536,3119,3010,6129,282,257,534,3660,3541,7199,3,0,3,3,0,5,0,0,0,3,4,7,242,261,511,6985,6218,13205,919,813,1732,8154,7298,15446,512,539,1046,10103,9231,19342,1200,1065,2269,11819,10834,22656,51,62,111,529,252,787,345,139,479,926,458,1380
Darwin Suburbs,70102,2474,5499,35,29,61,3390,2894,6291,121,151,275,753,653,1401,13,14,26,887,817,1703,128,133,261,729,738,1464,13,13,30,876,883,1757,17,15,29,145,191,335,0,5,9,163,206,371,1555,1701,3257,15389,15115,30502,1485,1481,2967,18431,18296,36731,0,3,3,16,10,20,9,0,5,20,14,32,301,376,671,5203,5301,10502,697,715,1418,6204,6391,12594,1861,2073,3933,20601,20424,41029,2197,2200,4389,24656,24700,49357,162,150,312,404,284,686,231,123,353,798,552,1355
Litchfield,70103,1387,3856,42,22,64,2669,1536,4209,46,34,77,495,293,787,9,5,8,545,327,873,45,35,79,277,173,447,3,8,7,327,215,538,5,6,10,40,27,69,0,0,0,47,33,78,665,620,1282,7267,6606,13878,1062,979,2040,8992,8207,17199,8,8,12,77,54,130,24,9,33,104,79,179,43,34,80,509,435,945,124,87,207,675,555,1225,715,664,1375,7857,7096,14949,1209,1078,2285,9776,8833,18608,760,56,817,1446,104,1550,1206,37,1239,3414,191,3610
Palmerston,70104,1878,4317,26,25,48,2758,2234,4988,107,105,214,474,423,894,8,3,12,591,533,1121,57,64,117,239,260,499,0,0,7,297,322,624,14,12,27,38,52,95,0,0,0,59,62,120,1376,1434,2810,10699,10361,21060,912,932,1846,12984,12726,25709,0,0,0,0,0,3,0,0,0,0,0,3,310,352,664,2358,2520,4885,331,363,688,2998,3233,6236,1686,1785,3473,13061,12882,25943,1237,1294,2534,15982,15961,31949,7,12,14,30,16,49,3,0,3,42,28,68
Alice Springs,70201,1197,2742,35,22,51,2282,2087,4375,486,568,1053,395,270,666,5,7,16,893,846,1736,1033,1193,2228,276,172,447,9,7,19,1323,1366,2692,262,318,581,34,21,59,0,0,0,296,337,638,4597,5096,9689,5818,6108,11930,806,865,1676,11224,12075,23291,53,46,103,45,33,79,14,16,31,109,97,209,573,647,1228,2838,2722,5557,544,482,1025,3956,3850,7808,5225,5797,11016,8694,8865,17558,1372,1360,2734,15293,16019,31313,687,331,1016,344,272,622,183,150,333,1211,757,1973
Barkly,70202,117,312,4,3,6,434,380,815,145,163,308,56,26,81,0,3,4,201,194,388,310,307,617,40,16,60,0,0,0,358,323,679,78,60,133,4,0,3,0,0,0,83,59,140,1466,1450,2910,555,516,1071,110,99,203,2127,2061,4191,9,5,13,7,0,7,3,0,3,14,5,20,82,79,167,161,159,319,34,28,64,282,270,545,1554,1532,3088,720,677,1392,143,127,273,2420,2338,4757,88,22,116,85,48,138,27,14,42,207,89,288
Daly - Tiwi - West Arnhem,70203,331,855,14,16,24,1519,1405,2925,409,447,854,145,63,203,6,0,10,564,507,1072,536,569,1109,113,53,169,3,0,7,654,624,1276,121,109,230,14,11,24,0,0,0,132,119,254,4571,4620,9192,1530,1261,2797,365,302,663,6464,6185,12654,45,51,94,29,19,46,10,7,15,85,77,162,525,545,1070,252,223,476,88,83,172,861,856,1719,5142,5217,10363,1809,1505,3313,460,398,854,7411,7120,14530,56,56,111,180,100,286,83,51,140,315,209,529
East Arnhem,70204,197,507,3,4,5,893,803,1694,394,360,754,46,35,84,0,0,0,440,395,839,581,554,1137,23,13,35,0,3,3,601,575,1171,62,60,122,3,0,7,0,0,0,64,62,127,3762,3806,7567,1442,1349,2788,113,103,212,5317,5255,10569,28,40,60,18,8,23,3,3,6,45,43,90,381,393,775,220,228,448,50,52,94,649,672,1313,4175,4232,8401,1676,1579,3257,162,156,320,6010,5969,11975,37,0,37,49,14,63,108,42,153,200,48,255
Katherine,70205,534,1293,19,13,37,1448,1292,2737,419,425,844,209,119,331,3,3,7,634,553,1180,547,490,1031,151,77,230,3,0,4,697,568,1268,185,167,353,12,3,19,0,0,0,195,172,368,3574,3608,7189,2445,2358,4796,728,686,1417,6742,6657,13400,34,29,64,46,35,77,4,4,9,81,68,147,437,515,952,486,393,883,169,170,339,1096,1075,2176,4050,4156,8208,2974,2779,5759,894,858,1754,7922,7799,15722,129,110,245,387,178,565,319,170,487,839,457,1296
Belconnen,80101,5549,10498,35,34,67,5102,5727,10822,43,48,91,1265,1458,2731,9,14,25,1324,1520,2843,27,16,40,892,1208,2098,12,17,25,932,1241,2167,0,0,3,177,222,396,0,3,3,175,223,401,605,623,1231,32917,33412,66335,1193,1155,2353,34716,35194,69911,0,0,0,0,0,0,0,0,3,0,0,3,136,145,282,8574,9179,17752,556,597,1159,9266,9921,19190,741,766,1510,41492,42595,84085,1754,1758,3511,43985,45118,89106,7,16,23,875,1017,1898,141,150,297,1024,1192,2215
Canberra East,80103,89,216,0,0,0,135,89,226,0,0,0,43,26,71,4,0,4,49,26,77,4,0,4,28,18,39,0,0,0,28,18,42,0,0,0,3,0,5,0,0,0,3,0,5,8,6,9,299,284,579,52,54,99,355,336,691,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,179,81,262,47,22,66,232,97,336,16,6,19,483,358,841,96,72,167,592,435,1031,90,10,101,315,27,338,15,0,18,423,38,460
Gungahlin,80104,3204,6033,12,21,32,2922,3290,6207,16,23,43,757,791,1547,4,3,13,781,814,1596,4,15,18,437,557,996,3,0,3,440,569,1018,0,3,5,123,155,281,0,0,0,122,155,281,322,321,641,23080,23433,46509,758,745,1505,24156,24496,48649,0,0,0,0,0,0,0,0,0,0,0,0,144,132,282,8980,9444,18420,500,516,1012,9617,10093,19717,468,451,921,32053,32877,64926,1258,1263,2518,33774,34588,68367,0,0,0,0,4,4,12,15,24,12,15,28
North Canberra,80105,1584,3004,14,16,30,1480,1641,3119,17,19,30,436,510,943,0,4,7,452,528,977,13,6,23,365,498,858,5,4,8,382,508,893,3,0,7,69,103,172,0,0,0,76,100,175,146,116,261,10666,11407,22078,416,429,843,11230,11951,23183,3,3,3,3,7,5,0,0,0,4,3,11,125,130,258,9145,9139,18285,875,813,1688,10145,10086,20228,274,249,522,19814,20550,40362,1292,1243,2535,21379,22043,43421,27,16,42,3099,2714,5815,390,224,618,3515,2960,6478
South Canberra,80106,1073,1859,6,12,25,836,1110,1947,16,7,26,262,291,551,4,0,7,283,300,577,6,7,20,160,219,375,3,8,7,170,228,400,3,0,3,33,41,67,0,0,0,33,41,71,82,85,165,6033,6459,12489,229,263,487,6341,6799,13145,0,0,0,0,0,0,0,4,5,0,4,5,62,56,114,4870,5141,10010,421,414,834,5350,5612,10961,143,138,283,10904,11600,22501,648,677,1326,11691,12415,24110,3,14,14,345,434,781,66,52,120,413,499,908
Tuggeranong,80107,6795,12780,39,49,87,6195,7044,13242,50,74,120,1455,1534,2985,6,12,17,1513,1616,3132,33,34,62,821,975,1800,3,4,14,859,1016,1875,4,3,10,111,138,252,0,3,3,119,145,266,824,868,1697,32812,33651,66466,1093,1157,2256,34736,35679,70415,0,0,0,0,0,0,0,0,0,0,0,0,115,159,271,4249,5140,9391,255,300,551,4619,5601,10219,941,1033,1969,37065,38790,75852,1345,1459,2808,39354,41281,80629,0,3,3,110,208,318,8,12,22,119,226,344
Weston Creek,80108,1320,2331,15,7,23,1044,1345,2392,10,8,22,305,386,693,0,0,3,320,398,716,3,7,12,257,321,576,0,7,7,263,331,593,0,0,0,27,29,60,0,0,0,31,35,63,123,125,251,8739,9122,17858,296,288,575,9158,9528,18685,0,0,0,0,0,0,0,0,0,0,0,0,21,20,44,1030,1314,2338,86,100,185,1130,1432,2569,145,147,291,9769,10429,20197,378,385,763,10292,10961,21251,0,3,3,135,252,391,12,16,31,157,275,425
Woden Valley,80109,1752,3072,7,10,18,1366,1787,3152,14,5,13,379,477,858,6,5,13,394,487,886,5,9,9,337,400,736,0,7,7,340,410,753,0,0,0,52,72,123,0,0,0,52,75,125,135,126,265,10722,11149,21871,359,310,676,11215,11586,22809,0,0,0,0,0,0,0,0,0,0,0,0,55,61,118,4130,4544,8677,334,334,675,4522,4938,9464,193,186,381,14851,15691,30544,700,650,1343,15742,16530,32274,4,4,3,163,327,482,90,70,155,254,396,644
Molonglo,80110,131,236,0,0,0,110,140,251,0,0,0,19,23,44,0,0,0,19,21,48,0,0,0,9,14,21,0,0,0,9,14,21,0,0,0,3,4,13,0,0,0,3,4,13,10,16,25,1068,1096,2161,53,49,104,1129,1164,2292,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13,927,982,1908,79,94,180,1018,1083,2105,20,18,41,1994,2079,4077,137,146,280,2147,2247,4389,0,0,0,0,0,3,3,3,4,7,4,7
Urriarra - Namadgi,80111,35,87,0,0,0,50,35,87,0,0,0,10,5,12,0,0,0,10,5,12,0,0,0,4,0,7,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,246,222,470,26,25,49,275,250,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,4,3,3,5,10,4,0,9,248,226,476,22,28,49,280,249,527,0,0,0,17,21,40,0,0,0,17,21,40
Christmas Island,90101,83,209,0,0,0,125,92,212,0,0,0,18,13,35,0,0,0,18,13,35,0,0,0,90,51,137,0,0,0,89,47,136,0,0,0,15,22,32,0,0,0,15,22,32,0,0,0,278,271,551,8,7,20,289,287,573,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,252,201,454,47,27,72,300,230,534,3,4,5,530,478,1002,54,39,90,585,519,1107,0,0,0,371,81,454,86,60,140,450,144,597
Cocos (Keeling) Islands,90102,16,45,0,0,0,32,17,48,0,0,0,7,6,15,0,0,0,7,6,15,0,0,0,13,9,20,0,0,0,13,9,21,0,0,0,48,53,99,3,0,3,52,53,99,0,0,3,230,236,465,15,14,25,240,247,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,230,236,465,15,14,25,240,247,495,0,0,0,3,5,9,5,3,9,3,8,14
Jervis Bay,90103,7,15,0,0,0,29,26,52,11,11,17,0,0,0,0,0,0,11,8,19,4,4,14,3,0,3,0,0,0,8,4,17,0,0,0,0,0,0,0,0,0,4,0,4,94,101,195,43,40,81,18,17,29,155,152,307,0,0,0,0,3,4,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,3,98,102,197,47,39,80,18,17,29,154,160,317,0,0,0,41,11,52,11,3,18,53,8,64
Norfolk Island,90104,215,425,0,4,4,207,220,432,0,0,0,52,31,85,0,3,3,52,33,92,0,0,0,9,10,23,0,0,0,14,10,22,0,0,0,3,3,3,0,0,0,3,3,3,3,9,9,710,777,1491,36,46,84,752,828,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,20,0,0,0,8,13,25,3,9,9,722,791,1513,36,51,87,760,846,1611,0,0,0,6,14,26,0,0,0,6,20,24
