lga_name_2016,lga_code_2016,one_method_train_m,one_method_train_f,one_method_train_p,one_method_bus_m,one_method_bus_f,one_method_bus_p,one_method_ferry_m,one_method_ferry_f,one_method_ferry_p,one_met_tram_incl_lt_rail_m,one_met_tram_incl_lt_rail_f,one_met_tram_incl_lt_rail_p,one_method_taxi_m,one_method_taxi_f,one_method_taxi_p,one_method_car_as_driver_m,one_method_car_as_driver_f,one_method_car_as_driver_p,one_method_car_as_passenger_m,one_method_car_as_passenger_f,one_method_car_as_passenger_p,one_method_truck_m,one_method_truck_f,one_method_truck_p,one_method_motorbike_scootr_m,one_method_motorbike_scootr_f,one_method_motorbike_scootr_p,one_method_bicycle_m,one_method_bicycle_f,one_method_bicycle_p,one_method_other_m,one_method_other_f,one_method_other_p,one_method_walked_only_m,one_method_walked_only_f,one_method_walked_only_p,one_method_tot_one_method_m,one_method_tot_one_method_f,one_method_tot_one_method_p,two_methods_train_bus_m,two_methods_train_bus_f,two_methods_train_bus_p,two_methods_train_ferry_m,two_methods_train_ferry_f,two_methods_train_ferry_p,two_mt_trn_trm_incl_lt_rl_m,two_mt_trn_trm_incl_lt_rl_f,two_mt_trn_trm_incl_lt_rl_p,two_methods_trn_car_as_drvr_m,two_methods_trn_car_as_drvr_f,two_methods_trn_car_as_drvr_p,two_methods_trn_car_as_pass_m,two_methods_trn_car_as_pass_f,two_methods_trn_car_as_pass_p,two_methods_train_other_m,two_methods_train_other_f,two_methods_train_other_p,two_methods_train_tot_m,two_methods_train_tot_f,two_methods_train_tot_p,two_methods_bus_ferry_m,two_methods_bus_ferry_f,two_methods_bus_ferry_p,two_mth_bu_trm_inc_lt_rl_m,two_mth_bu_trm_inc_lt_rl_f,two_mth_bu_trm_inc_lt_rl_p,two_methods_bus_car_as_drvr_m,two_methods_bus_car_as_drvr_f,two_methods_bus_car_as_drvr_p,two_methods_bus_car_as_pass_m,two_methods_bus_car_as_pass_f,two_methods_bus_car_as_pass_p,two_methods_bus_other_m,two_methods_bus_other_f,two_methods_bus_other_p,two_methods_bus_tot_m,two_methods_bus_tot_f,two_methods_bus_tot_p,two_methds_othr_two_methds_m,two_methds_othr_two_methds_f,two_methds_othr_two_methds_p,two_methods_tot_two_methods_m,two_methods_tot_two_methods_f,two_methods_tot_two_methods_p,three_meth_trn_two_othr_met_m,three_meth_trn_two_othr_met_f,three_meth_trn_two_othr_met_p,three_met_bs_2_ot_met_ex_tr_m,three_met_bs_2_ot_met_ex_tr_f,three_met_bs_2_ot_met_ex_tr_p,three_meth_othr_three_meth_m,three_meth_othr_three_meth_f,three_meth_othr_three_meth_p,three_meth_tot_three_meth_m,three_meth_tot_three_meth_f,three_meth_tot_three_meth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,method_travel_to_work_ns_m,method_travel_to_work_ns_f,method_travel_to_work_ns_p,tot_m,tot_f,tot_p
Mundaring (S),56090,86,128,216,203,73,275,3,3,7,0,0,3,7,12,13,6160,5471,11635,335,384,720,221,6,231,79,7,81,60,13,67,158,51,217,114,127,238,7424,6279,13703,39,44,83,0,0,0,0,0,0,169,173,337,10,17,24,6,0,6,222,232,456,0,0,0,0,0,0,7,10,12,3,7,13,13,0,9,17,18,34,63,25,89,309,272,577,30,28,59,10,0,10,3,3,4,40,32,75,364,565,929,851,1046,1902,121,86,203,9111,8279,17390
Peppermint Grove (S),56930,16,32,50,3,5,10,0,0,0,0,0,0,0,0,0,244,170,408,7,19,23,0,0,3,0,0,0,8,0,11,3,0,6,20,22,41,307,247,550,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,25,47,71,19,37,57,0,10,9,355,341,697
Latrobe (M) (Tas.),63810,0,0,0,19,10,22,0,0,0,0,3,0,0,0,3,1686,1540,3224,72,95,169,47,0,44,6,0,6,3,3,7,33,12,43,76,52,132,1944,1715,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,18,14,5,16,0,0,0,0,0,0,0,3,3,0,3,3,101,116,217,223,314,535,36,24,57,2312,2173,4487
Moora (S),55600,0,0,0,9,3,8,0,0,0,0,0,0,0,0,0,384,287,678,21,34,58,14,0,12,11,0,11,9,3,11,16,4,21,66,40,107,529,375,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,53,61,116,45,51,93,13,10,18,641,496,1137
Three Springs (S),58260,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,90,55,151,3,3,6,3,0,3,0,0,0,0,4,4,0,0,3,18,13,25,115,80,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,24,44,3,12,20,0,0,3,149,120,264
Launceston (C),64010,3,0,6,162,208,369,3,0,6,0,3,3,71,62,135,9827,8736,18568,702,987,1687,117,3,117,133,25,153,156,52,210,107,44,156,757,787,1540,12051,10908,22958,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,11,17,23,8,18,34,3,5,14,22,46,66,129,80,211,155,132,289,0,3,3,6,6,7,3,3,8,10,13,25,395,518,915,1173,1951,3122,127,113,239,13905,13630,27538
Meander Valley (M),64210,0,0,0,33,20,47,3,0,3,0,0,0,12,4,13,3110,2752,5857,176,173,345,94,0,94,42,6,50,13,7,22,45,15,58,160,124,284,3687,3097,6783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,3,8,0,0,0,4,9,10,33,7,42,38,22,56,0,0,0,0,0,0,0,0,0,0,0,0,267,286,551,377,599,974,48,43,96,4422,4039,8464
Northern Midlands (M),64610,0,0,0,12,10,23,0,0,0,0,0,0,3,0,3,2007,1740,3752,124,107,230,58,0,58,26,0,26,15,0,13,26,14,43,156,114,273,2433,1988,4420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,17,9,18,16,10,26,0,0,0,0,0,0,0,0,0,0,0,0,185,190,380,255,343,602,28,35,67,2928,2574,5496
Morawa (S),55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,80,165,5,3,7,4,0,4,0,0,0,0,0,0,3,0,4,19,20,39,121,104,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,39,16,11,30,4,0,4,164,138,304
Pingelly (S),57140,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,113,101,210,12,7,19,12,0,12,0,0,0,0,0,0,9,3,11,21,13,36,170,129,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,41,37,79,15,25,41,3,0,7,228,188,417
Plantagenet (S),57210,0,0,0,16,3,15,0,0,0,0,0,0,0,0,0,640,571,1219,46,56,108,20,0,24,7,0,8,6,0,6,15,10,24,70,45,115,822,694,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,157,127,279,140,149,289,13,11,24,1139,983,2120
Port Hedland (T),57280,3,0,3,119,16,136,0,0,0,0,0,0,6,18,22,2833,1949,4783,320,233,554,54,3,59,41,8,42,36,15,52,64,27,87,134,169,303,3611,2431,6038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,6,5,31,12,40,35,19,50,0,0,0,0,0,0,6,3,5,4,3,5,23,77,103,390,335,724,79,43,127,4134,2915,7051
Quairading (S),57350,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,105,86,189,13,3,13,10,0,10,0,0,0,0,0,3,11,0,11,29,19,47,174,108,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,43,16,25,45,0,3,5,204,162,369
Ravensthorpe (S),57420,0,0,0,65,11,80,0,0,0,0,0,0,0,0,0,210,146,357,16,10,24,17,3,15,0,0,0,3,0,3,15,4,22,39,31,75,364,203,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,52,52,106,38,40,77,4,10,17,470,307,775
Rockingham (C),57490,643,809,1457,1114,339,1452,11,5,18,7,0,7,23,14,45,18879,16311,35191,1417,1269,2688,350,11,359,221,14,241,147,53,203,1050,210,1259,456,395,848,24313,19440,43752,340,327,666,0,0,0,0,0,0,376,405,785,49,68,118,24,10,35,791,810,1601,0,0,0,0,0,0,19,13,31,27,27,58,21,3,27,65,47,114,250,83,330,1106,938,2041,175,205,376,14,6,19,9,3,14,199,211,412,483,1091,1579,3105,3394,6502,341,212,551,29547,25290,54837
Southern Midlands (M),65010,0,0,0,11,9,17,0,0,0,0,0,0,0,0,0,949,749,1700,60,73,132,50,3,52,10,0,11,0,0,0,18,0,19,40,38,79,1143,872,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,0,0,0,3,8,8,7,3,8,6,10,17,0,0,0,0,0,0,0,0,0,0,0,0,129,91,227,107,187,295,32,19,50,1422,1175,2599
Nungarin (S),56860,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,35,34,71,0,7,8,0,0,0,0,0,0,0,0,0,0,0,3,5,9,13,54,40,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,15,0,4,4,3,0,3,58,52,110
Tasman (M),65210,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,238,202,439,12,22,35,9,0,9,8,0,8,0,0,0,3,0,3,26,18,43,294,241,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,92,65,85,153,8,3,11,420,372,797
Waratah/Wynyard (M),65410,0,0,0,30,8,42,0,0,0,0,0,3,3,6,12,1965,1745,3709,136,119,256,57,0,59,23,3,28,12,4,17,33,12,42,71,75,150,2331,1976,4303,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,5,0,0,0,3,0,3,11,3,13,13,8,23,27,12,33,0,0,0,0,0,0,0,0,0,0,0,0,126,149,273,260,387,647,41,34,74,2788,2556,5342
West Coast (M),65610,0,0,0,7,3,4,0,0,0,0,0,0,0,3,3,515,416,928,53,47,103,9,0,7,0,0,0,3,0,8,14,3,15,64,72,135,665,544,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,32,32,66,103,92,195,10,22,32,820,695,1515
West Tamar (M),65810,0,0,3,45,35,79,0,0,0,0,0,0,9,4,11,3679,3280,6964,192,290,480,88,3,86,48,3,46,50,14,59,44,10,51,125,93,218,4268,3740,8005,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,5,3,3,3,3,11,14,32,21,59,45,35,76,0,0,0,0,0,0,4,0,3,4,0,3,217,259,477,424,775,1198,48,41,93,5000,4852,9856
Sorell (M),64810,0,0,0,29,30,59,0,0,0,3,0,4,6,0,8,2397,2093,4488,144,199,345,55,3,62,26,3,26,5,0,5,20,14,33,63,44,108,2749,2395,5142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,20,4,4,5,0,0,0,3,19,28,34,18,54,42,39,78,0,0,0,3,0,3,3,0,3,3,0,3,133,148,288,279,463,740,36,37,69,3243,3081,6323
Mosman Park (T),55740,192,157,353,44,41,85,0,0,0,0,0,0,3,0,3,1236,1161,2397,55,89,145,7,0,8,29,0,31,64,22,81,30,4,33,48,75,125,1705,1549,3256,15,19,35,0,0,0,0,0,0,21,16,33,3,3,7,9,0,11,46,36,86,0,0,0,0,0,0,5,11,9,0,4,8,0,0,0,4,9,17,14,9,27,64,58,130,7,3,4,0,0,3,0,0,0,5,3,12,118,147,263,147,219,365,26,19,38,2068,1998,4059
Mount Magnet (S),55810,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,36,38,77,6,7,6,0,0,0,0,0,0,0,0,3,0,0,0,14,10,29,64,59,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,12,3,17,0,0,0,85,67,150
Murchison (S),56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,13,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,7,10,23,19,22,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,0,0,0,25,25,52
Murray (S),56230,23,19,43,127,8,138,0,0,0,0,0,0,0,4,4,2074,1919,3989,157,133,292,104,6,107,15,0,21,10,4,11,97,21,121,89,81,169,2705,2199,4908,9,3,13,0,0,0,0,0,0,18,25,44,3,0,3,0,0,4,27,33,59,0,0,0,0,0,0,3,3,4,3,0,3,0,0,0,3,3,10,26,6,37,60,43,103,9,14,23,3,0,3,3,0,3,17,14,26,161,214,371,472,440,916,64,28,91,3477,2945,6418
Nannup (S),56300,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,131,137,268,12,13,19,4,0,4,9,0,9,10,3,8,5,0,12,29,23,56,200,177,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,45,33,80,26,40,70,11,5,15,288,259,544
Darwin (C),71000,12,9,26,1334,887,2225,4,0,5,3,8,5,83,74,156,14529,12088,26614,1091,1724,2819,134,10,139,570,144,714,752,524,1279,299,110,412,992,1091,2077,19802,16668,36468,0,0,3,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,13,7,17,0,0,0,0,0,0,318,61,373,41,65,111,68,22,85,429,140,570,215,123,341,660,275,931,3,0,6,23,18,41,17,12,29,42,35,68,368,622,993,1384,1749,3128,267,217,486,22517,19562,42081
Narembeen (S),56370,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,113,69,180,4,6,11,3,0,3,0,0,0,0,3,3,6,3,8,31,31,65,173,114,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,46,29,75,16,24,41,6,5,10,237,173,409
Alice Springs (T),70200,3,0,3,234,74,315,0,0,3,0,0,0,28,31,64,4025,4056,8079,335,527,858,77,7,82,145,51,193,353,277,628,66,37,106,331,373,704,5602,5440,11042,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,16,6,19,4,0,4,6,0,5,19,7,31,63,52,113,84,67,149,0,0,0,4,0,6,6,7,7,7,8,16,110,179,287,439,548,983,62,73,137,6302,6307,12608
East Arnhem (R),71300,0,0,0,25,23,42,0,0,0,0,0,0,0,0,0,209,99,306,92,99,191,6,0,6,3,0,4,8,9,15,6,5,13,330,431,759,671,669,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,3,4,6,14,7,8,18,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,14,23,42,34,33,68,741,744,1480
Narrogin (S),56460,0,0,0,18,0,17,0,0,0,0,0,0,0,0,0,739,656,1397,51,51,105,30,0,32,0,0,3,7,3,10,20,0,20,69,79,140,940,792,1729,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,11,11,5,15,0,0,0,0,0,0,0,0,0,0,0,0,49,65,108,97,112,208,24,15,38,1111,984,2093
Nedlands (C),56580,106,89,199,358,195,551,0,0,0,0,0,0,12,6,22,3133,2608,5746,160,278,437,12,0,14,51,0,50,264,68,327,65,17,84,225,152,378,4387,3421,7807,21,22,43,0,0,0,0,0,0,18,29,40,0,7,10,0,0,3,44,58,101,0,0,0,0,0,0,6,13,15,3,10,18,14,6,16,27,23,48,41,16,62,111,94,208,6,10,21,0,3,0,4,0,3,15,17,25,331,442,774,335,542,869,52,38,87,5230,4548,9772
Waroona (S),58820,3,0,0,23,3,28,0,0,0,0,0,0,0,0,0,550,471,1024,51,29,76,13,3,16,0,0,3,0,0,3,23,0,21,29,25,54,693,534,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,41,44,89,133,125,261,22,11,33,902,722,1626
Northam (S),56730,0,0,6,48,7,55,0,0,0,0,0,0,0,0,0,1472,1395,2861,118,105,225,67,3,70,7,3,12,13,7,18,44,12,54,98,80,176,1867,1612,3480,0,0,0,0,0,0,0,0,0,7,9,11,0,0,0,0,0,0,7,9,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,17,3,19,28,15,37,0,0,0,0,0,0,3,0,8,4,0,8,107,140,244,238,280,519,28,27,53,2271,2067,4337
Sandstone (S),57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,7,13,13,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,0,3,3,0,3,25,17,40
Serpentine-Jarrahdale (S),57700,65,79,151,178,41,221,0,0,0,0,0,0,4,3,8,4729,4062,8796,292,218,507,235,14,248,52,3,58,15,8,19,159,45,199,122,89,208,5857,4556,10414,19,27,43,0,0,0,0,0,0,69,94,162,0,12,17,3,0,3,94,132,226,0,0,0,0,0,0,3,3,11,8,7,8,5,0,5,15,10,22,60,31,90,169,169,337,28,28,52,3,0,3,4,0,6,35,29,58,211,390,602,617,742,1358,61,38,104,6951,5926,12871
Shark Bay (S),57770,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,108,78,186,15,7,22,3,0,3,0,0,0,3,7,6,3,3,11,50,49,100,188,146,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,14,24,30,22,44,15,6,15,242,185,419
South Perth (C),57840,197,160,358,862,830,1688,27,11,33,3,3,12,32,28,67,6703,5904,12606,329,543,868,37,0,37,79,7,85,410,112,522,133,53,188,268,245,512,9073,7902,16979,123,121,243,0,0,0,0,0,0,31,32,58,10,5,16,13,3,10,164,164,332,10,6,17,0,0,0,35,28,58,15,31,43,30,4,34,85,76,159,94,55,152,345,289,635,27,31,55,15,8,22,5,0,4,42,36,83,457,554,1004,743,1164,1907,95,60,153,10766,9997,20757
Stirling (C),57910,945,1052,2000,2554,2580,5136,4,6,14,17,11,20,183,79,259,36571,31114,67688,1862,2897,4757,452,8,454,530,70,599,1028,257,1278,793,267,1060,700,771,1471,45637,39104,84743,934,1006,1935,0,0,0,0,0,0,389,418,806,48,103,151,36,18,58,1410,1544,2952,0,0,0,0,0,0,110,137,248,65,117,178,48,27,68,221,278,497,366,209,572,1998,2032,4027,216,222,437,30,18,51,24,9,37,271,249,521,1660,2220,3888,3670,5659,9336,511,402,913,53759,49666,103428
Subiaco (C),57980,262,250,509,446,398,843,0,0,0,3,0,3,19,16,35,2163,1949,4112,113,241,352,14,0,14,56,9,63,308,143,454,62,27,94,494,481,969,3936,3511,7444,51,36,90,0,0,0,0,0,0,11,4,15,3,9,8,13,8,21,79,59,132,0,0,0,0,0,0,12,5,18,3,12,19,11,4,16,30,26,55,29,20,44,132,102,234,11,10,21,8,0,5,0,0,5,18,13,28,271,284,555,344,524,861,40,35,78,4744,4465,9207
Swan (C),58050,382,539,923,931,600,1532,9,0,12,6,0,3,84,35,118,23517,19764,43278,1392,1707,3104,592,22,613,262,24,287,256,54,311,662,161,824,511,473,992,28593,23393,51988,278,301,578,0,0,0,3,0,3,371,392,758,37,56,91,14,3,16,696,744,1442,0,0,0,0,0,0,62,80,144,27,55,82,26,6,26,118,141,261,291,105,392,1108,993,2094,93,143,239,13,10,20,8,6,17,120,160,277,751,1375,2132,2732,3453,6183,384,278,665,33688,29654,63340
Tammin (S),58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,43,99,10,3,12,3,0,3,0,0,0,0,0,0,7,0,7,9,7,14,83,57,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,23,5,10,9,0,0,0,101,73,169
Perenjori (S),57000,0,0,0,43,6,51,0,0,0,0,0,0,0,0,0,108,42,148,17,10,25,4,0,4,0,0,0,0,0,3,28,7,30,20,21,37,223,80,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29,25,52,9,11,18,10,3,10,266,113,385
Perth (C),57080,219,189,407,1113,1041,2154,3,0,5,0,4,3,25,18,41,2269,1430,3702,150,245,386,9,0,12,35,15,48,117,55,175,134,35,169,1341,1034,2376,5415,4068,9484,103,128,233,0,0,3,0,0,0,6,7,13,3,0,8,10,6,15,120,142,265,0,0,0,0,0,0,28,9,34,10,15,20,21,12,32,52,39,90,20,16,36,196,201,397,18,11,25,8,3,11,4,4,8,25,20,51,223,194,410,485,555,1034,79,55,134,6420,5087,11512
Toodyay (S),58330,0,4,4,44,3,42,0,0,0,0,0,0,0,0,0,557,534,1089,41,48,87,24,3,32,3,0,3,0,0,0,37,10,48,27,20,54,746,618,1365,0,3,4,0,0,0,0,0,0,3,8,9,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,17,14,17,32,0,0,0,0,0,0,0,0,0,0,0,0,83,71,158,130,138,260,25,6,36,994,853,1846
West Arthur (S),58890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,84,185,10,9,21,3,0,3,8,0,8,0,0,0,10,5,15,20,17,30,143,116,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,46,109,13,18,32,5,0,7,234,179,411
Katherine (T),72200,0,0,0,5,5,11,0,0,0,0,0,0,7,13,16,1434,1277,2707,146,159,302,32,4,31,39,8,42,96,42,136,29,17,44,145,128,274,1940,1642,3583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,6,26,11,33,24,13,34,0,0,0,0,0,0,0,0,0,0,0,0,67,82,153,141,172,308,24,15,40,2201,1920,4120
Litchfield (M),72300,0,3,3,877,80,961,3,0,3,0,0,0,3,6,12,3921,3441,7362,278,248,525,160,0,157,87,20,105,50,20,71,109,29,136,345,117,459,5832,3958,9791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,191,33,225,9,15,21,18,3,15,216,52,265,45,25,66,258,76,333,0,0,0,10,0,10,0,0,0,10,0,11,199,292,491,496,453,949,99,67,169,6896,4847,11746
Trayning (S),58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,66,4,3,4,3,0,3,0,0,0,0,0,0,0,0,0,14,3,17,63,35,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,28,0,10,12,0,0,3,84,54,135
No usual address (Tas.),69499,0,0,0,9,8,10,0,0,0,0,0,0,0,0,0,72,43,113,16,8,23,0,0,0,4,0,4,4,0,8,3,0,10,9,11,18,120,72,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,45,3,0,3,152,98,247
Wagait (S),74560,0,0,0,5,3,5,9,3,12,0,0,0,0,0,0,26,23,52,0,4,6,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,51,40,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,29,42,70,32,49,79,0,0,0,4,3,7,9,8,16,9,18,27,3,5,13,13,11,23,0,0,0,106,120,228
Upper Gascoyne (S),58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,15,29,31,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,14,4,0,5,0,3,5,45,24,72
