lga_name_2016,lga_code_2016,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Northampton (S),56790,356,813,6,6,15,490,382,867,8,8,19,101,57,162,0,0,4,114,71,181,7,5,7,77,53,129,0,0,0,84,57,140,0,0,0,0,3,4,0,0,0,0,4,5,73,74,144,1156,1072,2233,112,102,214,1338,1248,2588,0,0,0,4,4,11,0,0,0,6,4,16,9,4,14,129,132,266,23,20,42,162,153,316,78,79,161,1295,1211,2504,140,117,254,1514,1404,2921,0,0,0,16,17,29,3,10,11,19,25,37
Meander Valley (M),64210,2649,5422,22,14,41,2871,2741,5617,17,28,47,741,697,1441,8,20,30,768,748,1516,13,4,19,427,404,833,8,3,15,443,421,861,0,0,3,19,15,40,0,0,0,22,19,42,246,251,500,7532,7783,15316,434,450,887,8220,8486,16704,0,0,0,0,3,3,0,0,0,0,3,3,11,5,17,426,543,966,35,47,80,476,593,1065,262,263,523,7963,8330,16286,472,491,965,8691,9082,17775,0,0,0,58,128,180,8,3,10,63,128,197
Northern Midlands (M),64610,1716,3674,17,15,26,2021,1761,3788,11,15,25,551,460,1012,10,3,17,571,484,1047,5,7,9,303,275,573,4,0,3,308,279,587,0,0,0,24,13,30,0,0,0,22,15,33,134,142,273,5129,5233,10356,362,385,751,5623,5759,11383,0,0,0,3,3,7,0,0,0,9,3,7,7,10,21,177,223,398,17,10,25,202,240,446,140,154,298,5310,5454,10767,377,389,775,5833,6004,11835,3,0,3,60,77,142,10,10,21,73,93,161
Sorell (M),64810,1873,3858,17,17,38,2103,1977,4077,33,26,57,494,466,958,10,3,17,534,493,1031,13,9,23,251,221,470,8,6,10,273,233,507,3,3,3,18,9,21,0,0,0,17,8,25,289,264,556,5875,6022,11890,333,350,686,6496,6637,13140,0,0,0,16,8,22,0,3,3,17,13,28,3,5,5,62,69,134,8,9,16,71,84,158,298,273,566,5948,6101,12047,340,363,708,6584,6739,13320,0,0,0,29,52,81,3,8,10,31,61,90
Leonora (S),55040,52,183,3,0,3,156,71,226,5,12,17,17,17,31,0,0,0,27,26,51,4,10,18,8,9,16,0,0,0,15,17,29,5,0,3,3,3,7,0,0,0,6,0,9,70,80,152,250,236,487,63,63,127,388,376,764,0,0,0,3,3,9,3,3,5,9,4,13,6,4,8,35,20,55,9,3,8,46,27,75,71,84,159,289,264,556,74,65,139,438,412,845,6,0,6,233,39,276,139,26,166,381,66,451
Mandurah (C),55110,9405,18324,63,80,144,9144,9678,18825,59,65,130,2135,2085,4222,18,35,57,2220,2188,4409,29,26,58,1259,1298,2559,20,23,43,1310,1350,2660,0,4,4,77,79,158,3,0,6,83,81,160,702,746,1448,28729,30946,59674,1462,1573,3026,30888,33265,64154,0,0,0,8,8,17,0,0,0,8,8,17,70,79,141,3884,4844,8725,338,406,751,4291,5322,9616,769,821,1588,32617,35799,68417,1802,1975,3777,35185,38595,73786,5,5,9,251,461,709,15,29,42,269,487,757
Manjimup (S),55180,907,2032,11,11,27,1165,950,2115,19,13,26,289,195,483,8,7,9,315,209,524,0,10,10,197,158,354,5,4,6,202,171,368,0,0,0,28,24,47,0,0,0,27,24,51,124,127,253,3592,3534,7126,298,286,588,4013,3953,7965,0,0,0,13,6,16,0,0,0,16,8,21,18,16,31,157,172,334,21,25,49,199,213,414,138,146,284,3763,3718,7480,320,313,637,4223,4175,8404,0,0,0,14,19,33,18,41,66,33,66,98
Meekatharra (S),55250,39,134,3,0,7,132,87,216,10,14,26,16,7,22,0,0,0,27,14,43,9,16,17,10,4,17,0,0,0,17,16,36,0,0,0,0,0,0,0,0,0,0,0,0,134,142,280,89,83,175,51,51,104,278,274,551,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,26,26,48,5,6,10,33,32,69,139,149,290,115,108,223,55,57,112,316,309,623,3,0,7,185,37,219,73,23,100,256,66,322
Melville (C),55320,6708,12316,48,45,93,5707,6818,12520,22,13,37,1374,1579,2953,11,14,29,1403,1615,3012,13,15,25,842,1164,2004,3,15,18,860,1193,2047,4,5,10,125,146,271,0,0,3,132,151,281,232,224,460,35378,36993,72363,1153,1202,2354,36761,38417,75181,0,0,0,0,0,0,0,0,0,0,0,0,65,84,153,6927,8723,15653,417,549,966,7409,9362,16767,300,314,605,42302,45716,88017,1572,1753,3320,44169,47779,91946,30,11,35,486,1035,1520,46,55,100,561,1098,1659
Darwin (C),71000,3416,7770,48,34,82,4847,3955,8805,164,201,362,1015,828,1844,9,11,27,1191,1045,2236,161,159,321,911,927,1833,21,19,38,1094,1102,2193,21,20,40,184,231,420,3,8,6,216,257,473,1796,1943,3741,18396,18017,36412,1742,1700,3444,21937,21658,43593,3,4,3,19,8,27,9,0,5,25,12,42,545,631,1174,12024,11409,23438,1590,1509,3101,14160,13555,27712,2342,2579,4918,30441,29433,59869,3339,3213,6555,36121,35223,71349,202,209,413,917,523,1444,562,259,823,1686,997,2678
East Arnhem (R),71300,26,53,0,0,0,592,603,1195,383,354,735,3,8,8,0,0,0,390,357,748,577,556,1127,5,0,6,0,0,0,580,554,1136,59,60,119,0,0,0,0,0,0,59,60,119,3624,3651,7278,186,184,370,19,22,42,3836,3850,7686,21,27,46,0,0,0,0,0,0,21,29,44,366,363,729,38,43,78,11,5,11,404,411,823,4005,4038,8051,218,223,442,29,27,58,4260,4294,8549,3,0,3,11,0,13,10,0,9,28,4,34
Menzies (S),55390,8,57,0,0,0,72,28,105,9,11,22,9,3,13,0,0,0,20,18,29,11,10,24,3,0,3,0,0,0,15,10,26,10,4,12,0,0,0,0,0,0,10,4,12,96,90,186,22,15,36,13,6,19,127,113,241,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,7,15,0,0,4,10,10,22,100,95,195,30,19,50,14,10,19,142,127,268,0,3,4,105,20,123,28,3,30,128,29,155
Merredin (S),55460,278,656,0,0,3,404,310,712,6,4,11,84,63,151,0,0,0,97,70,164,3,4,11,71,53,120,0,0,0,78,54,132,0,0,0,19,4,20,0,0,0,19,7,19,94,98,198,1342,1221,2568,104,85,185,1543,1404,2945,0,0,0,0,0,0,0,0,0,0,0,0,5,6,15,28,39,69,5,9,11,39,56,99,99,108,211,1375,1259,2639,109,95,197,1584,1467,3048,3,0,3,35,20,60,0,3,5,44,26,72
Katherine (T),72200,427,995,13,13,26,766,644,1410,80,106,179,133,96,233,3,0,9,214,200,420,88,76,161,102,63,164,3,0,4,195,137,336,42,41,80,5,3,12,0,0,0,53,43,96,711,723,1438,2111,2060,4172,592,563,1156,3413,3342,6760,0,0,0,4,3,5,0,0,0,4,3,5,94,116,210,348,274,622,145,147,294,583,538,1123,808,843,1647,2458,2337,4798,740,702,1445,4007,3885,7886,103,91,196,178,86,260,191,105,291,468,279,747
Litchfield (M),72300,1411,3903,46,22,63,2694,1550,4242,44,35,71,499,293,791,8,3,14,549,329,877,47,42,88,283,175,458,3,5,9,336,227,561,5,4,11,36,27,64,0,0,0,46,34,73,653,615,1266,7372,6719,14091,1087,1009,2100,9113,8341,17448,8,8,12,77,54,130,24,9,33,104,79,179,44,33,81,518,445,965,124,86,210,687,564,1258,705,658,1361,7967,7216,15185,1233,1106,2344,9909,8979,18891,765,60,828,1453,105,1560,1206,37,1239,3428,200,3626
Mingenew (S),55530,31,83,0,0,0,58,33,89,0,0,3,11,6,20,3,0,3,16,8,21,0,0,0,11,6,19,0,0,0,11,6,19,0,0,0,0,0,0,0,0,0,0,0,0,8,9,20,193,154,340,12,10,24,214,179,387,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,4,10,13,3,0,4,7,6,14,8,9,20,199,161,356,19,13,33,227,184,412,0,0,0,0,0,0,0,0,0,0,0,0
Mundaring (S),56090,3429,7216,25,35,55,3880,3532,7409,14,15,34,826,677,1502,8,9,16,849,703,1547,14,8,24,409,378,786,0,0,3,425,390,814,0,3,5,33,31,65,0,0,0,36,33,73,281,299,582,15318,15827,31143,736,716,1453,16328,16846,33180,0,0,0,9,8,9,0,0,0,9,8,9,21,15,27,351,459,807,23,26,49,391,495,884,300,315,612,15670,16290,31959,760,741,1496,16724,17344,34070,558,5,563,1375,102,1477,0,3,3,1927,112,2040
Peppermint Grove (S),56930,71,111,0,0,0,41,71,120,0,8,8,13,46,62,0,0,0,13,55,64,0,0,0,5,3,11,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,528,598,1122,30,37,65,557,637,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,125,212,12,15,24,94,139,239,0,3,4,614,720,1336,36,51,87,651,775,1426,0,26,26,0,105,104,0,0,0,0,129,133
Moora (S),55600,180,421,0,0,0,273,210,475,14,6,20,59,40,91,0,0,0,71,44,117,5,7,12,44,33,71,0,0,0,49,43,90,0,0,0,0,0,5,3,0,3,0,0,3,115,118,230,912,825,1735,100,101,201,1129,1047,2175,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,22,21,44,3,7,5,28,37,65,120,129,245,936,846,1782,103,105,209,1155,1084,2238,4,3,4,19,25,41,0,0,3,19,22,44
Pingelly (S),57140,106,243,3,0,3,159,133,295,3,7,9,22,35,59,0,3,3,31,47,73,7,4,9,31,16,51,0,0,0,37,26,58,0,0,0,0,0,0,0,0,0,0,0,0,61,66,128,390,378,770,55,53,109,505,496,1001,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,11,9,16,0,0,0,14,16,27,60,72,132,404,388,790,53,49,107,518,517,1036,0,0,0,3,0,0,0,0,3,3,0,9
Plantagenet (S),57210,519,1097,9,8,11,604,545,1151,3,4,5,139,99,241,3,0,3,142,104,250,3,4,10,96,75,170,0,0,3,106,73,179,0,0,0,26,13,35,0,0,0,24,13,40,57,75,132,2022,1976,3996,173,168,345,2258,2221,4475,0,0,0,7,0,4,0,0,0,6,0,10,0,0,0,32,19,52,3,4,6,36,27,63,61,75,134,2062,1992,4056,179,173,356,2301,2241,4541,8,0,8,79,27,109,11,3,16,103,27,128
Port Hedland (T),57280,653,1804,14,15,30,1411,936,2344,60,61,123,185,128,304,0,0,4,246,185,436,47,55,102,72,49,121,0,5,3,120,104,223,15,31,40,11,12,25,0,0,0,27,42,69,916,953,1867,3749,3503,7250,662,636,1295,5328,5091,10420,15,21,44,3,9,13,0,0,0,25,29,55,125,131,258,819,700,1516,206,184,389,1150,1011,2157,1055,1106,2163,4573,4206,8775,864,823,1690,6493,6137,12631,44,37,79,438,96,535,202,68,270,681,202,880
Quairading (S),57350,119,238,0,8,8,128,139,265,3,4,4,21,30,44,0,0,0,23,30,50,4,4,7,27,15,44,0,0,0,36,21,54,0,0,0,0,0,0,0,0,0,0,0,0,35,37,74,337,343,682,62,50,111,436,437,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,15,0,0,0,5,11,19,35,37,74,344,353,699,62,55,115,446,444,892,0,0,0,3,8,12,0,3,3,3,12,13
Ravensthorpe (S),57420,129,370,3,0,6,243,135,382,0,3,3,44,28,77,0,0,0,45,35,81,3,4,8,33,25,57,0,0,0,36,33,69,0,0,0,6,0,6,0,0,0,6,0,6,18,7,29,618,554,1181,92,73,164,728,645,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,28,55,0,0,6,30,30,64,18,11,30,646,588,1231,96,77,169,761,673,1429,0,0,0,59,9,73,10,3,14,69,18,85
Morawa (S),55670,37,104,0,0,0,82,52,141,3,3,11,17,8,23,0,0,0,22,9,35,3,0,3,14,11,26,0,0,0,19,11,22,0,0,0,0,0,0,0,0,0,0,0,0,63,54,108,253,233,490,17,30,46,331,313,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,63,54,108,258,233,491,17,30,46,333,312,650,6,0,6,25,11,37,0,0,3,32,14,47
Rockingham (C),57490,12008,24572,80,96,181,12888,12373,25265,70,58,128,2536,2236,4768,22,21,44,2624,2318,4938,34,34,67,1193,1260,2450,16,19,35,1240,1316,2559,15,7,22,77,121,195,4,0,3,90,129,222,1059,1176,2231,48939,51688,100624,2931,3146,6081,52928,56007,108931,0,0,0,9,10,15,0,0,0,9,10,15,60,81,141,2804,3324,6131,308,382,689,3174,3785,6962,1118,1250,2366,51755,55019,106772,3238,3535,6768,56104,59804,115907,7,4,17,468,459,929,289,108,394,766,573,1340
Southern Midlands (M),65010,748,1665,8,15,24,974,798,1780,12,8,24,309,217,519,8,5,11,328,227,557,15,8,20,158,101,261,4,3,8,174,111,288,0,0,3,3,4,8,0,0,0,3,3,9,146,148,293,2541,2377,4916,200,189,386,2881,2712,5595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,30,55,3,0,3,31,30,67,145,150,296,2574,2410,4979,199,189,390,2921,2748,5661,0,0,0,8,12,22,3,0,0,13,14,26
Tasman (M),65210,282,592,7,5,10,343,303,649,6,6,12,117,95,213,0,0,3,123,100,225,4,3,8,73,23,97,0,0,0,80,27,112,0,0,0,0,0,0,0,0,0,0,0,0,59,51,107,854,813,1671,96,96,195,1005,963,1972,0,0,0,4,3,9,0,0,0,11,3,9,0,0,0,33,15,46,3,0,3,35,18,49,59,51,107,888,833,1728,97,100,196,1050,986,2034,0,0,0,3,12,17,13,23,38,17,30,55
Waratah/Wynyard (M),65410,1842,3803,33,22,55,2136,2001,4136,43,41,82,569,538,1102,10,14,26,623,589,1213,21,18,41,376,288,664,4,6,15,405,316,721,0,0,0,26,13,38,0,0,0,26,13,38,481,463,945,5030,5227,10260,285,301,592,5806,5993,11796,0,0,0,0,0,0,0,0,0,0,0,0,14,21,36,241,268,507,46,46,89,303,334,633,497,481,982,5273,5496,10770,334,345,684,6105,6325,12432,3,3,4,71,60,133,21,15,35,92,81,170
West Coast (M),65610,582,1230,15,7,17,708,627,1329,19,10,31,159,136,292,3,0,3,179,145,326,15,3,16,97,75,170,0,0,0,111,84,193,0,0,0,5,4,10,0,0,0,5,4,10,144,121,267,1587,1481,3065,140,114,257,1868,1724,3593,0,0,0,0,0,3,0,0,0,0,0,3,7,5,15,86,85,167,6,18,22,97,107,205,152,131,278,1668,1570,3240,146,131,282,1968,1831,3798,0,0,0,23,8,34,11,0,14,35,16,43
West Tamar (M),65810,2815,5777,39,29,68,3061,2906,5964,18,20,34,763,706,1468,11,10,17,785,743,1526,11,7,14,407,326,733,11,3,12,427,338,764,0,0,0,27,29,47,3,0,3,25,27,53,238,271,516,9228,9638,18870,482,482,970,9949,10396,20347,0,0,0,4,0,9,0,0,0,4,0,9,3,10,12,268,301,573,41,31,77,321,343,661,244,284,526,9505,9944,19449,529,521,1043,10274,10747,21024,0,0,0,48,111,158,4,12,17,53,119,169
Nungarin (S),56860,34,61,3,3,3,33,39,70,0,0,0,6,8,10,0,0,0,7,8,15,0,0,0,0,3,7,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,5,11,19,106,88,192,10,9,18,120,107,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,11,19,107,86,191,10,9,18,122,108,225,0,0,0,0,4,4,0,0,0,0,4,4
Alice Springs (T),70200,1088,2471,23,19,43,1685,1477,3159,146,173,314,339,255,598,5,5,11,492,429,920,226,270,501,240,166,403,4,7,15,473,446,916,68,75,145,29,17,50,0,0,0,96,93,192,1317,1432,2753,5499,5780,11276,666,732,1394,7478,7951,15425,5,4,15,14,16,27,10,4,14,28,29,55,349,424,767,2428,2395,4826,436,406,844,3210,3231,6439,1671,1861,3534,7936,8194,16135,1109,1143,2256,10716,11207,21925,166,240,403,164,170,336,105,92,194,431,499,930
Mosman Park (T),55740,369,691,3,3,6,330,379,713,0,5,7,96,122,213,0,0,0,99,124,221,0,0,3,42,42,78,0,4,5,42,43,83,0,0,0,10,16,24,0,0,0,10,16,24,8,5,17,2535,2942,5473,83,87,166,2621,3034,5661,0,0,0,0,0,0,0,0,0,0,0,0,24,9,38,943,1029,1977,130,128,254,1100,1171,2270,32,18,52,3480,3976,7453,209,216,425,3718,4204,7926,3,8,12,76,228,297,0,0,3,79,240,318
Mount Magnet (S),55810,29,66,0,0,0,56,36,95,7,3,11,15,17,30,0,0,0,21,19,38,4,0,7,5,3,14,0,0,0,14,6,14,0,0,3,0,0,0,0,0,0,0,0,3,45,45,87,116,99,206,45,42,85,201,176,381,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,7,9,22,3,6,6,19,18,35,46,42,89,125,102,225,49,42,97,219,195,413,0,0,0,8,0,14,11,0,10,24,0,23
Murchison (S),56160,3,12,0,0,0,13,11,25,0,3,3,0,0,0,0,0,0,0,3,5,3,0,6,3,0,3,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,28,28,54,14,9,22,3,0,3,36,39,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,3,4,26,28,54,12,10,25,3,0,3,41,37,77,0,0,0,3,3,5,25,11,42,33,14,44
Murray (S),56230,1978,4138,23,33,58,2225,2064,4287,11,15,25,533,452,985,5,3,6,549,470,1019,4,4,11,344,234,580,12,4,8,358,240,603,4,0,8,21,7,30,0,0,0,25,10,41,162,184,349,6358,6704,13060,449,463,915,6971,7349,14322,0,0,0,21,10,33,3,0,3,21,15,39,15,3,18,407,358,764,141,89,230,557,457,1011,173,189,361,6785,7077,13857,591,550,1142,7546,7816,15365,0,0,0,19,38,56,10,7,13,29,45,68
Nannup (S),56300,149,327,3,0,3,187,149,335,0,0,0,32,22,56,0,0,3,39,28,64,0,0,0,25,12,32,0,0,0,25,10,37,0,0,0,3,0,3,0,0,0,3,0,3,4,3,12,541,497,1038,46,47,96,595,550,1143,0,0,0,3,0,6,0,0,0,4,0,4,4,0,4,15,16,34,0,0,3,20,17,37,10,6,16,559,513,1066,53,53,103,616,568,1186,0,0,0,6,0,3,4,3,9,9,3,13
Waroona (S),58820,475,1017,9,4,14,561,492,1055,0,0,4,131,114,240,0,0,0,130,119,244,3,3,3,83,84,167,3,3,8,86,86,174,0,0,0,12,11,22,0,0,0,12,11,22,45,47,85,1528,1539,3071,145,154,304,1720,1746,3466,0,0,0,3,6,13,0,0,0,3,6,13,3,0,6,88,100,189,28,30,56,115,127,249,43,43,91,1624,1650,3272,172,184,359,1844,1878,3724,0,0,0,10,27,37,17,32,54,28,56,88
Narembeen (S),56370,73,174,0,0,0,107,81,184,0,0,0,22,14,35,0,0,0,20,14,39,3,0,3,18,17,28,0,0,0,14,17,31,0,0,0,3,0,4,0,0,0,5,0,6,4,10,19,327,306,636,22,21,43,357,341,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,0,4,5,7,4,10,19,331,314,645,21,21,49,367,344,714,0,0,0,3,12,13,0,0,0,3,13,17
West Arthur (S),58890,78,181,0,0,0,102,85,186,3,0,3,22,15,38,0,0,0,24,18,38,0,0,3,19,13,29,0,0,0,20,10,36,0,0,0,3,0,3,0,0,0,3,0,3,9,16,22,343,319,664,27,21,49,386,350,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,4,6,11,9,16,21,9,16,22,350,324,677,28,23,59,390,368,756,0,0,0,0,0,0,0,0,0,0,0,0
Narrogin (S),56460,466,971,7,0,8,538,512,1049,13,16,23,156,122,277,0,4,4,164,135,308,12,4,21,83,97,183,3,0,3,99,103,207,0,0,0,6,4,5,0,0,0,6,4,5,135,136,272,1746,1873,3621,163,179,347,2044,2197,4243,0,0,0,0,0,0,0,0,3,0,0,3,24,22,43,105,138,241,28,28,58,151,184,342,159,157,316,1850,2011,3865,191,212,402,2204,2385,4581,0,9,9,82,81,163,18,21,37,105,106,211
Nedlands (C),56580,852,1458,4,8,14,616,863,1477,0,0,0,208,204,412,0,0,0,204,204,414,3,0,3,74,112,190,0,6,6,83,116,196,0,0,0,9,17,25,0,0,0,11,17,29,24,18,39,8179,8262,16441,244,247,487,8450,8518,16964,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,1147,1459,2605,67,90,152,1219,1545,2765,34,18,48,9327,9717,19046,311,334,641,9668,10068,19734,6,6,10,191,167,355,35,43,81,240,213,447
Northam (S),56730,1136,2381,9,18,28,1307,1236,2546,23,22,49,329,244,577,4,3,7,359,268,624,14,22,38,184,157,339,11,3,10,212,179,394,0,0,5,15,12,25,0,0,0,20,10,32,262,293,553,3957,4148,8101,361,392,761,4580,4838,9418,0,0,0,4,3,12,0,0,0,6,3,11,17,9,26,126,138,263,26,22,52,170,172,345,275,304,579,4087,4285,8376,390,418,816,4755,5015,9769,4,3,6,530,77,606,29,0,25,567,74,639
Sandstone (S),57630,12,33,0,0,0,24,12,33,0,0,0,4,0,8,0,0,0,4,0,8,0,0,0,3,0,3,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22,53,9,6,13,42,30,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,33,22,56,8,6,9,40,30,72,0,0,0,3,0,3,0,0,0,3,0,6
Serpentine-Jarrahdale (S),57700,2552,5549,13,15,32,3064,2605,5669,21,11,33,610,395,1008,7,3,7,635,409,1043,0,3,6,276,206,489,4,3,5,279,217,497,0,0,0,27,24,51,0,0,0,27,24,51,229,244,474,11444,11720,23165,631,630,1260,12308,12589,24895,0,0,0,9,9,16,7,3,12,17,13,23,0,4,11,83,103,183,8,9,17,92,118,210,228,253,484,11537,11829,23364,642,639,1278,12407,12717,25128,38,0,37,330,51,379,0,0,0,366,56,425
Shark Bay (S),57770,81,202,0,0,4,135,84,222,4,4,11,24,26,43,0,0,0,27,26,55,3,3,3,16,4,20,0,0,0,16,3,25,0,0,0,0,0,0,0,0,0,0,0,0,30,24,55,272,269,540,17,18,37,323,307,631,0,0,0,4,0,6,0,0,0,7,0,10,3,4,6,75,71,151,12,9,16,91,84,177,35,28,58,356,343,700,32,21,55,420,389,813,0,0,0,23,11,34,16,7,23,38,21,59
South Perth (C),57840,2296,4162,16,21,30,1933,2362,4297,23,15,32,492,510,999,3,7,10,515,532,1050,5,7,16,249,366,615,0,4,8,256,383,640,0,3,3,46,86,130,3,0,3,49,93,136,123,136,260,10394,10722,21113,446,483,928,10963,11347,22305,0,0,0,0,0,0,0,0,0,0,0,0,58,69,124,6978,7648,14624,606,639,1245,7637,8360,15996,184,204,386,17369,18371,35737,1054,1125,2180,18604,19701,38307,71,20,97,614,674,1291,39,28,70,720,727,1447
Stirling (C),57910,13392,25411,85,92,179,12310,13723,26031,50,63,114,2849,3172,6020,20,27,53,2926,3263,6181,33,45,83,3004,3741,6749,36,45,86,3077,3835,6918,11,5,18,774,992,1764,5,3,11,795,1003,1792,576,633,1207,57636,59084,116722,2474,2638,5117,60683,62356,123039,0,0,0,3,3,3,0,0,0,3,3,5,343,437,777,32594,36145,68738,2538,2685,5221,35470,39267,74736,923,1063,1988,90229,95232,185463,5007,5323,10330,96162,101625,197783,32,25,60,821,1482,2296,52,74,124,906,1577,2488
Subiaco (C),57980,696,1224,10,7,10,547,706,1250,0,5,5,139,151,295,0,0,0,137,159,297,4,0,3,91,121,216,0,0,0,95,127,218,0,0,3,15,18,28,0,0,0,15,21,31,17,21,36,4059,4324,8384,136,134,267,4209,4479,8692,0,0,0,0,0,0,0,0,0,0,0,0,27,20,51,3903,4061,7964,343,368,709,4272,4453,8724,47,43,81,7963,8387,16351,480,501,979,8483,8929,17408,11,31,44,361,446,808,39,45,86,411,523,940
