lga_name_2016,lga_code_2016,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Barunga West (DC),40430,4,275,3,285,10,233,0,239,3,230,3,237,0,92,3,91,3,112,0,117,0,0,0,0,4,46,75,122,20,990,88,1094,3,329,0,336,4,225,0,230,0,206,0,207,4,62,5,71,0,82,3,80,0,0,0,0,3,48,64,116,14,950,75,1036,9,604,3,616,11,460,3,474,5,428,3,440,4,153,5,162,3,192,4,204,0,0,0,0,4,92,142,230,31,1939,162,2128
Cleve (DC),41190,0,215,3,216,3,186,0,191,0,110,7,114,0,38,0,38,0,58,0,65,0,3,0,3,0,27,49,74,5,628,62,692,0,272,0,270,0,123,3,120,3,98,0,102,3,20,0,28,0,60,0,56,0,5,0,5,0,26,40,62,3,600,41,644,0,483,3,490,3,307,3,314,0,206,8,215,3,60,0,58,0,119,7,122,0,6,0,6,0,51,84,129,6,1229,105,1336
Flinders Ranges (DC),41830,8,152,3,165,12,143,0,157,14,128,0,141,7,40,3,53,8,50,0,62,0,5,0,4,9,31,36,80,66,547,41,658,21,227,0,250,16,114,3,139,13,124,0,141,3,32,0,35,11,37,3,54,3,0,0,3,8,28,32,76,78,568,39,684,34,376,7,412,30,259,3,291,25,251,0,278,10,73,3,82,24,86,5,113,0,6,0,11,18,59,75,149,145,1111,87,1346
Franklin Harbour (DC),41960,0,135,0,139,3,106,0,104,0,128,0,129,0,38,0,42,0,47,0,53,0,0,0,0,0,26,54,78,7,484,57,544,3,157,3,157,0,92,0,97,0,116,0,118,3,21,0,29,0,41,3,43,0,0,0,0,0,20,50,61,5,444,55,506,3,295,3,302,3,199,0,208,0,242,0,246,4,57,0,66,0,87,3,91,0,0,0,0,0,43,98,143,9,923,112,1049
Gawler (T),42030,28,3218,21,3268,27,1805,18,1843,22,1630,20,1668,8,529,8,542,4,485,10,508,0,25,0,25,3,283,449,730,85,7975,524,8582,47,3974,31,4054,34,1787,16,1832,20,1701,22,1748,13,537,3,555,16,544,9,564,3,28,0,33,3,263,455,725,133,8838,536,9514,75,7192,53,7319,60,3595,29,3681,45,3334,38,3411,20,1065,13,1100,20,1025,19,1066,3,54,0,59,7,545,906,1458,225,16816,1056,18094
Holdfast Bay (C),42600,38,8025,33,8093,13,2103,16,2131,20,1635,9,1665,3,356,6,362,5,383,3,390,0,86,0,90,0,319,753,1069,83,12902,824,13812,51,8914,40,9004,19,2129,10,2165,13,2096,18,2124,6,485,3,486,5,513,3,526,3,59,4,59,3,524,807,1338,89,14723,893,15702,87,16943,75,17098,31,4233,26,4299,30,3733,31,3793,6,838,8,855,5,897,12,912,4,140,3,147,3,845,1562,2409,175,27628,1712,29512
Karoonda East Murray (DC),43080,3,97,0,104,0,90,0,90,0,113,5,118,0,42,0,42,0,60,0,63,0,0,0,0,0,7,24,37,3,412,33,443,0,151,0,150,0,78,0,81,0,72,0,72,0,18,0,23,0,46,0,50,0,0,0,0,0,9,21,32,3,379,25,402,3,243,3,253,0,172,0,172,0,182,3,186,0,58,0,63,0,107,0,108,0,0,0,0,0,22,50,69,10,789,52,848
Kimba (DC),43220,4,128,3,133,3,90,0,88,0,71,0,73,0,26,0,26,0,51,0,51,0,0,0,0,0,11,22,30,4,373,24,405,0,165,0,169,0,85,0,85,0,48,0,48,0,13,0,17,0,33,0,31,0,0,0,0,0,11,23,34,4,354,27,383,4,294,6,302,3,171,0,173,0,119,0,119,0,42,0,39,0,83,0,82,0,0,0,0,0,20,42,71,8,728,49,785
Kingston (DC) (SA),43360,3,257,3,268,8,200,0,208,3,224,5,232,0,87,0,93,0,80,4,79,0,0,0,0,0,29,57,85,18,869,77,963,3,332,5,337,3,178,0,177,5,186,0,189,0,56,5,59,0,70,5,75,0,0,0,0,0,38,55,99,9,867,73,945,8,584,10,606,8,377,3,391,5,408,7,424,0,148,3,151,0,145,8,161,0,3,0,3,0,70,114,188,29,1734,145,1910
Light (RegC),43650,14,2063,14,2094,15,1305,10,1331,8,1051,3,1065,3,279,5,292,3,255,0,257,0,9,0,9,7,120,256,389,54,5080,294,5426,14,2552,15,2586,11,1134,8,1156,12,923,4,934,0,217,3,221,0,200,3,205,0,8,0,8,3,128,211,340,40,5162,250,5451,32,4614,33,4682,24,2447,19,2481,15,1973,10,1996,10,497,9,514,3,452,5,463,0,15,0,22,5,250,469,726,91,10247,544,10879
Lower Eyre Peninsula (DC),43710,9,643,9,661,9,505,6,516,3,415,4,428,3,128,4,135,0,111,3,111,0,5,0,5,58,207,133,402,80,2023,157,2265,14,845,16,870,7,430,3,443,7,295,3,310,0,76,0,78,0,64,3,71,0,6,0,6,18,62,107,188,41,1779,129,1953,22,1491,20,1528,14,932,13,956,10,712,15,739,6,206,3,210,0,177,4,185,0,10,0,10,78,277,241,586,122,3802,294,4222
Loxton Waikerie (DC),43790,10,1232,9,1251,15,924,15,951,17,991,16,1018,4,352,3,365,8,446,3,462,0,17,0,19,9,184,238,431,64,4148,283,4491,22,1533,12,1566,19,910,10,937,21,841,10,869,4,262,7,278,3,387,8,396,0,20,0,16,6,194,237,436,75,4149,282,4514,32,2763,24,2822,28,1836,22,1886,35,1829,22,1882,14,616,13,639,12,834,14,861,0,34,0,38,15,379,476,876,138,8295,570,9006
Mallala (DC),43920,20,967,13,993,18,803,15,833,14,814,6,833,10,253,3,261,10,211,3,220,0,11,0,15,0,89,220,313,73,3152,256,3483,24,1250,9,1289,26,692,3,723,10,667,5,686,11,164,3,176,0,149,3,154,0,9,0,11,0,60,205,271,75,2999,229,3299,43,2218,23,2286,44,1495,18,1561,26,1478,11,1518,14,420,4,440,12,355,3,369,0,24,0,30,3,155,424,586,146,6148,490,6780
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,24,7,0,29,0,9,0,9,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,20,7,0,28,0,9,0,9,3,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,35,37,11,0,50
Marion (C),44060,123,18655,102,18886,66,5479,38,5586,54,4343,34,4432,23,1204,10,1240,23,1281,19,1323,11,205,0,217,16,748,1289,2051,312,31918,1497,33728,129,20903,112,21140,70,5245,33,5350,73,4965,48,5085,23,1399,11,1434,18,1800,28,1850,0,273,3,278,17,1004,1334,2361,330,35596,1576,37497,254,39558,210,40024,136,10732,73,10939,129,9314,81,9519,46,2604,26,2676,41,3076,54,3172,7,480,3,497,33,1752,2621,4409,644,67513,3068,71226
Mid Murray (DC),44210,17,925,11,951,11,762,3,773,21,882,15,911,7,294,7,305,7,319,7,328,3,7,0,11,15,352,248,618,82,3543,282,3905,14,1100,10,1124,9,669,6,675,13,694,9,713,9,208,0,216,4,248,3,249,0,10,0,10,6,123,227,355,52,3040,250,3341,32,2026,18,2075,20,1423,8,1454,30,1572,20,1623,11,503,7,516,11,565,6,582,3,16,0,16,24,477,471,977,130,6585,531,7248
Mitcham (C),44340,57,15865,82,15999,21,3309,22,3345,26,2194,19,2240,12,537,7,554,11,594,5,603,0,74,4,78,5,381,914,1300,119,22938,1049,24110,71,17510,80,17664,20,3209,26,3259,20,2667,15,2699,4,666,3,679,10,825,10,845,0,114,0,119,0,538,875,1411,123,25533,1012,26670,125,33377,158,33657,41,6513,48,6602,42,4857,34,4937,14,1203,8,1230,19,1418,11,1452,0,185,4,191,8,911,1788,2708,247,48472,2067,50782
Mount Barker (DC),44550,38,5739,39,5814,16,2427,19,2466,25,1919,29,1968,4,517,10,531,0,378,6,390,0,17,0,21,7,279,578,866,88,11283,677,12055,41,7133,48,7220,23,2186,17,2230,18,1864,23,1903,0,474,4,478,3,395,10,404,4,16,3,23,8,318,611,938,100,12380,712,13197,80,12873,83,13040,45,4618,36,4691,37,3785,46,3868,5,986,15,1007,8,774,17,794,4,33,3,41,18,589,1195,1796,188,23662,1392,25249
Mount Gambier (C),44620,25,3025,14,3063,36,2149,21,2205,31,1902,15,1949,21,695,3,711,12,759,10,781,0,69,0,69,6,317,472,793,132,8907,529,9572,68,3972,23,4067,35,2114,13,2166,35,1822,20,1876,16,596,7,615,7,761,11,785,0,61,0,61,19,398,489,909,181,9724,568,10475,90,6998,40,7129,74,4261,30,4363,71,3720,37,3829,32,1288,12,1332,26,1523,26,1567,0,129,0,129,24,719,959,1701,311,18637,1099,20051
Mount Remarkable (DC),44830,7,292,3,301,3,307,3,313,3,236,12,250,3,99,3,106,10,107,3,115,0,0,0,3,0,32,75,109,29,1083,94,1204,10,414,3,429,5,227,3,240,3,201,6,210,0,70,0,72,0,79,0,84,0,3,0,3,5,42,73,121,30,1038,83,1153,13,707,8,729,12,531,7,548,11,442,12,462,3,173,3,175,8,187,4,197,0,4,0,3,7,75,143,231,61,2117,182,2359
Murray Bridge (RC),45040,61,2393,23,2478,52,1513,13,1579,54,1637,14,1709,32,614,7,648,17,691,11,728,3,55,0,64,94,555,425,1073,311,7455,506,8269,86,2891,26,3001,57,1465,9,1530,67,1562,21,1646,26,536,10,573,18,689,13,718,0,44,0,47,20,267,406,695,273,7453,490,8217,145,5284,51,5475,109,2975,27,3110,121,3198,42,3354,59,1151,16,1227,38,1377,25,1444,3,101,0,109,114,822,837,1764,591,14901,992,16490
Naracoorte and Lucindale (DC),45090,3,1073,13,1083,10,701,9,724,10,654,10,676,8,222,0,227,3,200,6,211,0,126,3,128,3,114,132,248,37,3097,163,3300,12,1267,9,1291,3,653,12,668,8,491,8,505,6,151,0,159,3,174,3,180,0,29,0,29,5,135,118,256,37,2897,160,3093,20,2337,23,2379,14,1356,26,1392,18,1144,21,1183,14,370,0,386,8,373,9,388,0,153,3,155,5,249,244,500,74,5995,322,6391
Northern Areas (DC),45120,3,562,3,566,4,420,5,427,8,378,0,390,3,126,3,129,3,133,0,137,0,3,0,4,3,64,105,172,28,1682,116,1825,10,708,10,719,4,337,6,349,7,319,3,328,0,91,0,94,3,116,3,116,0,0,0,0,0,63,86,148,24,1631,103,1755,12,1266,11,1288,11,757,10,769,13,694,9,721,0,217,3,220,9,248,3,257,0,9,0,7,3,128,192,322,46,3315,226,3586
Norwood Payneham St Peters (C),45290,28,9174,47,9249,9,1486,4,1501,11,1008,11,1028,3,257,3,267,4,599,4,609,6,98,0,109,0,232,627,863,62,12870,701,13628,42,10101,34,10177,17,1547,13,1578,4,1252,9,1261,3,329,5,336,3,918,12,939,0,169,3,174,4,314,660,978,76,14626,740,15439,75,19271,76,19421,23,3032,19,3075,20,2259,20,2294,5,590,10,605,8,1521,22,1551,4,266,6,280,7,546,1287,1844,136,27494,1439,29068
Onkaparinga (C),45340,222,27258,182,27656,121,13104,105,13330,158,11339,93,11594,43,2987,32,3063,29,2112,36,2181,9,154,3,159,34,1413,2915,4360,612,58368,3361,62343,298,31538,192,32032,184,12206,85,12475,160,11693,106,11958,42,2901,48,2985,43,2358,56,2452,4,145,10,154,33,1712,3069,4812,765,62544,3561,66874,517,58789,370,59680,304,25307,192,25808,321,23032,199,23555,81,5888,86,6056,74,4471,88,4633,10,298,12,313,65,3127,5979,9176,1380,120915,6926,129223
Orroroo/Carrieton (DC),45400,0,94,3,98,0,93,0,93,0,66,0,66,0,28,0,23,0,37,0,37,0,3,0,3,0,15,22,33,0,327,28,363,3,135,3,140,0,57,0,59,0,69,0,71,0,16,0,18,0,28,0,31,0,0,0,0,0,10,25,38,3,328,38,367,3,229,3,242,0,156,0,154,0,130,0,138,0,43,3,47,0,67,0,73,0,5,0,5,0,26,52,74,6,654,66,723
Peterborough (DC),45540,3,138,4,142,4,121,3,125,5,161,9,170,3,65,0,71,3,71,0,76,0,4,0,4,3,37,48,86,23,595,56,680,8,178,0,187,5,144,0,149,4,144,4,155,0,58,0,58,0,71,0,71,0,3,0,3,8,39,42,87,29,637,48,711,13,315,4,333,10,264,3,274,12,305,8,327,3,121,3,124,3,143,0,147,0,5,0,11,11,71,88,174,53,1232,107,1388
Playford (C),45680,210,10830,83,11127,170,6489,56,6716,197,6326,65,6588,71,2191,18,2284,54,1764,34,1851,11,416,6,435,46,1076,1910,3033,761,29097,2168,32034,284,12480,89,12854,209,5989,47,6247,210,6305,73,6585,71,2037,29,2140,49,1817,27,1893,3,584,16,603,50,1133,1913,3095,883,30347,2184,33415,491,23317,170,23976,377,12483,105,12967,405,12635,135,13170,150,4225,49,4419,106,3581,63,3748,19,1005,20,1042,103,2205,3820,6124,1647,59447,4353,65447
Port Adelaide Enfield (C),45890,207,23772,137,24107,136,6867,36,7038,173,5981,53,6201,57,2037,22,2126,70,2776,27,2874,7,999,15,1021,185,1960,2094,4236,836,44394,2378,47611,271,25344,119,25732,198,5956,44,6198,189,6067,45,6298,74,2196,41,2314,54,3536,61,3650,6,1048,17,1070,112,1690,2182,3981,901,45841,2506,49251,472,49112,257,49844,337,12822,81,13243,356,12046,93,12504,137,4235,67,4432,118,6315,92,6524,16,2052,32,2097,296,3651,4274,8216,1731,90239,4893,96860
Port Augusta (C),46090,85,1185,10,1281,141,1118,19,1271,171,817,12,999,69,285,0,358,76,263,6,348,15,17,0,36,268,548,402,1218,829,4238,449,5511,175,1554,10,1737,203,936,16,1160,192,786,8,988,68,246,4,319,73,283,4,370,12,15,0,29,95,213,378,679,809,4036,432,5275,258,2742,26,3024,345,2053,33,2434,360,1601,25,1986,136,531,9,677,150,547,18,717,20,35,0,61,365,758,778,1904,1639,8271,880,10792
Port Lincoln (C),46300,48,1652,8,1711,44,1137,8,1185,41,1061,11,1112,24,309,3,329,19,344,4,371,3,6,4,10,19,127,363,507,189,4635,404,5231,52,2166,6,2231,44,1052,12,1111,59,945,6,1012,21,255,0,279,16,345,4,363,0,15,0,12,30,162,382,571,227,4943,410,5575,100,3824,18,3940,87,2191,20,2294,95,2001,21,2123,46,561,7,610,37,691,8,735,3,21,4,28,48,292,745,1074,417,9576,816,10812
Port Pirie City and Dists (M),46450,22,1806,15,1842,30,1541,11,1579,43,1361,21,1423,24,452,3,475,14,602,13,633,0,22,0,22,16,232,338,596,149,6016,407,6573,34,2239,12,2290,38,1402,12,1452,52,1283,11,1340,16,508,14,537,17,645,13,679,3,22,0,26,11,275,375,666,172,6377,436,6984,58,4046,30,4136,63,2945,26,3034,89,2643,29,2764,39,953,16,1014,38,1248,25,1304,3,47,0,46,32,513,714,1261,327,12394,839,13559
Prospect (C),46510,25,5280,23,5327,18,988,4,1008,17,689,3,706,4,165,3,172,3,293,9,307,3,107,3,110,0,121,360,483,70,7651,401,8120,22,5429,17,5469,9,900,9,920,7,699,7,708,5,186,3,197,3,418,8,425,0,84,0,87,0,152,350,505,53,7860,387,8306,49,10709,43,10796,31,1886,11,1930,27,1384,5,1418,7,356,5,366,12,707,15,730,3,188,3,192,3,274,708,986,123,15514,788,16420
Renmark Paringa (DC),46670,10,1067,21,1092,6,751,13,773,15,759,9,787,10,279,7,301,12,313,9,329,0,59,0,59,3,148,247,397,55,3380,301,3743,11,1242,8,1266,11,684,5,704,21,723,6,754,13,221,0,235,7,326,6,342,0,60,0,59,3,176,239,415,72,3435,273,3780,22,2307,27,2363,19,1436,18,1471,43,1486,22,1548,28,501,8,534,17,638,13,671,0,124,0,127,3,326,484,811,128,6819,576,7522
Robe (DC),46860,4,190,0,194,0,131,5,137,0,128,3,131,0,37,0,37,0,33,0,35,0,0,0,0,0,5,47,51,4,523,57,581,0,267,0,267,0,112,3,118,0,85,0,89,0,24,0,24,0,14,0,17,0,0,0,0,0,16,43,55,0,524,45,568,4,459,0,463,0,242,3,249,0,213,0,219,0,62,0,62,0,45,3,50,0,0,0,0,0,19,87,112,8,1044,101,1153
Roxby Downs (M),46970,13,627,4,645,18,398,6,417,12,305,0,320,0,44,0,46,5,10,0,13,0,4,0,3,3,25,187,210,49,1408,198,1660,3,624,4,636,11,180,0,189,8,155,4,165,0,34,0,32,0,12,0,13,0,0,0,0,0,17,74,89,23,1025,76,1124,25,1249,8,1277,24,570,9,605,15,464,3,482,3,78,0,81,3,29,0,29,0,3,0,3,3,37,258,301,73,2431,281,2780
Salisbury (C),47140,223,22298,144,22666,160,9599,71,9829,169,8797,67,9034,78,2677,29,2778,68,3018,34,3120,3,1135,8,1148,46,1334,2212,3601,750,48851,2568,52168,283,23596,130,24014,189,8444,60,8694,218,8644,75,8939,57,2916,37,3009,43,3516,41,3599,6,1547,15,1567,51,1559,2150,3753,852,50222,2501,53573,510,45895,271,46677,349,18043,127,18517,391,17440,143,17976,136,5593,61,5785,110,6536,76,6720,8,2682,22,2714,95,2900,4360,7357,1601,99076,5069,105742
Southern Mallee (DC),47290,3,241,0,246,3,156,0,163,5,187,0,194,0,76,3,81,0,55,0,59,0,4,0,4,0,27,59,88,18,756,67,841,4,293,3,299,0,143,6,152,4,130,0,133,0,47,0,51,3,62,0,70,0,0,0,0,0,19,61,79,10,702,72,789,11,541,3,548,3,300,6,312,10,321,0,327,3,124,3,129,4,122,4,130,0,5,0,5,0,50,122,168,27,1456,143,1622
Streaky Bay (DC),47490,0,277,0,278,6,176,0,179,0,189,0,193,0,46,0,46,0,76,0,75,0,4,0,4,0,25,63,90,12,791,70,873,4,310,3,313,3,145,0,149,0,134,0,134,0,28,0,28,0,40,0,40,0,0,0,0,0,19,53,78,7,670,59,741,4,585,6,591,5,318,0,326,0,324,0,330,0,77,0,78,0,110,0,110,0,3,0,3,4,46,119,167,18,1464,126,1613
Tatiara (DC),47630,11,804,5,820,3,594,7,604,3,540,6,555,3,177,3,188,0,194,5,199,0,47,0,47,3,83,225,310,28,2445,254,2726,3,979,14,1001,4,462,3,475,10,383,10,398,3,100,0,103,0,146,3,155,0,8,0,8,0,59,201,259,21,2144,235,2399,14,1786,17,1815,12,1055,7,1076,15,925,20,957,6,281,4,293,0,344,10,349,0,57,0,57,4,139,424,570,51,4586,485,5124
Tea Tree Gully (C),47700,92,18507,95,18695,74,7548,54,7678,71,5866,45,5981,15,1455,15,1485,16,1303,16,1336,6,108,3,112,8,708,1117,1831,289,35494,1338,37120,132,20218,86,20444,71,7102,42,7214,57,6383,53,6498,20,1587,20,1630,18,1698,24,1736,0,139,3,142,10,912,1189,2114,308,38039,1420,39770,226,38727,182,39136,138,14657,95,14890,129,12248,99,12478,38,3042,36,3118,32,3002,37,3071,6,247,4,253,17,1619,2309,3942,595,73533,2755,76886
The Coorong (DC),47800,12,549,8,565,22,435,9,464,29,480,3,514,11,181,0,191,11,200,0,212,0,6,0,6,8,90,125,215,92,1934,145,2161,27,688,5,719,21,372,4,406,16,375,5,401,17,135,0,156,13,163,3,179,0,3,0,3,4,87,105,198,101,1822,125,2056,37,1237,7,1282,45,810,15,865,50,856,11,917,24,315,4,348,27,354,3,385,0,7,0,7,9,174,227,411,191,3758,269,4218
Tumby Bay (DC),47910,3,307,6,318,4,237,3,241,4,213,0,216,3,65,3,71,3,95,3,101,0,5,0,5,5,51,51,99,19,973,61,1052,3,406,4,410,0,202,0,206,5,182,3,188,0,52,3,54,6,88,3,94,0,0,0,0,0,52,44,98,17,983,56,1055,5,713,10,728,4,437,3,447,6,395,3,405,7,121,5,127,5,182,10,197,0,5,0,5,6,103,93,196,35,1955,119,2102
Unley (C),47980,40,10152,44,10242,11,1376,7,1393,7,872,3,878,3,232,7,239,3,354,4,364,0,71,0,71,0,249,662,910,61,13308,727,14096,28,11135,46,11214,8,1605,19,1638,9,1349,15,1373,4,320,0,324,7,633,12,646,0,97,0,95,0,360,687,1056,61,15498,789,16344,71,21285,90,21448,17,2981,30,3031,15,2215,19,2255,4,556,5,570,11,991,17,1019,0,162,0,167,0,615,1348,1962,120,28803,1516,30440
Victor Harbor (C),48050,14,2054,15,2083,17,1142,11,1167,17,1227,9,1249,4,382,3,385,4,349,8,356,0,15,0,15,3,205,269,479,52,5368,313,5734,15,2380,32,2426,17,1303,11,1326,14,1481,17,1511,0,394,3,401,5,363,5,374,0,12,0,15,3,280,269,555,55,6215,326,6596,26,4440,46,4506,27,2446,22,2499,32,2707,23,2761,6,768,5,782,10,713,14,733,0,23,0,28,9,480,535,1028,110,11583,639,12334
Wakefield (DC),48130,13,749,9,777,11,587,6,607,15,558,3,577,3,225,4,230,0,209,3,215,0,11,0,11,0,74,155,230,44,2414,189,2646,14,949,11,975,14,493,6,509,7,469,0,476,4,172,3,177,3,191,4,198,0,3,0,3,0,73,149,225,42,2352,175,2567,22,1702,21,1750,26,1077,16,1118,21,1027,5,1056,10,396,11,407,8,397,6,410,0,13,0,13,3,151,302,449,88,4764,366,5212
Whyalla (C),48540,49,2721,36,2806,53,2032,11,2100,75,1491,18,1582,30,422,3,454,20,454,13,490,3,36,0,36,25,365,508,900,254,7514,586,8360,94,3024,21,3135,83,1689,17,1794,74,1490,14,1578,20,465,5,495,30,463,11,502,0,33,3,31,27,381,500,911,328,7537,574,8437,142,5744,52,5935,138,3722,29,3894,151,2982,30,3157,50,883,7,944,48,914,25,989,3,63,0,68,52,741,1014,1806,580,15054,1158,16794
Boyup Brook (S),50770,0,234,0,235,0,58,0,59,0,203,3,204,0,63,0,60,0,32,0,35,0,0,0,3,0,29,46,74,4,620,55,673,4,283,3,286,3,66,0,66,0,181,3,184,0,28,0,28,0,25,0,26,0,0,0,0,0,24,48,79,11,605,57,669,3,514,3,521,3,124,0,129,3,385,4,387,0,84,0,88,0,57,0,63,0,0,3,3,3,51,96,153,14,1221,110,1345
Coolgardie (S),51960,21,357,4,377,11,169,3,184,48,420,7,467,7,86,0,98,12,54,0,60,0,3,0,3,10,52,202,263,103,1137,213,1457,20,381,3,406,26,150,0,171,46,308,3,355,10,70,0,82,11,21,0,36,0,5,0,3,9,34,123,171,118,966,129,1215,36,741,4,777,36,319,6,360,92,724,7,827,22,150,3,171,21,76,0,97,0,6,0,8,13,86,323,427,222,2103,343,2671
Coorow (S),52030,3,139,0,143,0,40,0,43,3,195,0,197,0,40,0,41,0,13,0,15,0,0,0,0,0,10,32,46,11,438,33,484,3,124,3,134,4,44,0,49,0,139,0,141,0,26,0,29,0,13,0,13,0,0,0,0,0,8,19,34,7,360,26,392,5,266,3,276,6,84,0,90,5,334,0,342,0,60,0,67,0,24,0,24,0,0,0,0,4,20,51,76,23,798,60,874
Albany (C),50080,90,5159,37,5289,41,1414,16,1473,107,3877,37,4014,24,741,6,768,30,629,10,672,3,38,0,39,204,650,809,1663,497,12501,914,13919,84,6553,45,6688,39,1512,18,1571,100,3616,35,3748,28,666,4,704,20,533,4,558,0,38,0,41,15,506,801,1323,289,13438,906,14631,177,11715,85,11977,82,2926,31,3042,205,7489,70,7763,48,1406,13,1471,45,1159,21,1231,3,75,0,79,225,1158,1604,2991,794,25940,1821,28549
Armadale (C),50210,147,13822,54,14029,98,3040,21,3155,196,7160,46,7402,54,1240,8,1303,34,751,13,790,3,163,9,170,34,718,1716,2469,564,26891,1871,29322,194,15537,62,15789,105,2985,18,3112,186,6601,48,6841,38,1026,12,1074,26,745,11,777,3,194,0,199,45,813,1523,2379,602,27901,1668,30170,342,29363,114,29815,200,6025,45,6275,382,13768,90,14240,96,2260,17,2377,53,1493,19,1567,12,354,9,373,74,1534,3237,4847,1160,54795,3535,59491
Ashburton (S),50250,111,3259,29,3398,75,976,8,1053,160,1690,23,1869,26,189,5,220,22,67,0,83,11,23,0,35,22,126,1629,1780,431,6317,1691,8444,86,1224,9,1317,52,297,3,353,74,463,8,538,18,50,0,69,12,19,0,35,8,3,0,10,32,58,342,421,283,2107,361,2747,200,4478,35,4714,125,1268,13,1408,233,2149,26,2406,48,236,5,290,37,85,0,119,22,25,0,47,49,180,1975,2204,712,8424,2054,11189
Augusta-Margaret River (S),50280,21,2572,18,2617,8,540,5,548,20,1239,16,1267,0,185,3,184,0,101,3,107,0,10,0,12,0,122,425,546,52,4763,468,5285,29,3120,18,3163,12,475,3,493,9,988,10,1004,0,162,3,169,0,97,0,97,0,8,0,11,5,144,380,528,54,5001,412,5472,50,5696,39,5784,20,1012,7,1040,28,2227,20,2274,5,348,3,356,0,204,3,205,3,17,0,20,7,262,805,1074,112,9759,884,10757
Bassendean (T),50350,26,3045,4,3082,15,496,8,520,49,1168,3,1220,15,211,0,228,7,222,3,232,0,39,0,38,9,144,295,450,121,5319,317,5760,47,3362,17,3419,18,485,10,506,35,1135,10,1182,5,223,3,240,7,269,3,279,3,39,0,43,11,221,292,521,123,5738,326,6194,76,6403,23,6500,29,986,16,1028,80,2302,16,2399,27,435,6,469,19,486,4,510,0,80,0,84,25,365,582,968,248,11056,646,11948
Bayswater (C),50420,109,15450,63,15618,35,1892,14,1940,61,4165,25,4253,11,769,0,782,19,1002,12,1027,7,249,0,251,19,711,1482,2213,255,24232,1592,26084,112,15897,70,16077,40,1715,6,1753,80,4095,27,4203,16,790,4,812,16,1216,11,1242,3,315,0,328,20,895,1402,2317,284,24921,1520,26724,222,31340,130,31687,71,3605,21,3696,144,8265,48,8456,33,1562,3,1592,33,2216,18,2267,13,563,5,574,36,1605,2884,4526,542,49151,3108,52809
